24:c6:96:88:f0:b7/2016-11-26 18:44:35.000296/-56
a4:70:d6:42:04:b1/2016-11-26 18:43:39.659675/-78
b0:9f:ba:31:69:11/2016-11-26 18:44:11.295235/-78
94:01:c2:0f:91:eb/2016-11-26 18:45:13.311226/-54
00:0d:f0:a2:9f:11/2016-11-26 19:35:45.141342/-256
b0:9f:ba:31:69:11/2016-11-26 19:33:11.761352/-80
f8:f1:b6:69:4d:ca/2016-11-26 19:33:18.563418/-68
64:89:9a:29:31:2e/2016-11-26 19:33:45.220722/-80
94:01:c2:0f:91:eb/2016-11-26 19:34:29.278377/-76
a4:77:33:67:8f:90/2016-11-26 19:33:48.834874/-82
00:0d:f0:a2:9f:11/2016-11-26 19:53:48.794864/-256
24:c6:96:88:f0:b7/2016-11-26 19:55:09.511661/-46
5c:51:88:1d:76:f3/2016-11-26 19:53:12.623148/-72
f8:f1:b6:69:4d:ca/2016-11-26 19:54:57.257890/-74
a4:70:d6:42:04:b1/2016-11-26 19:52:25.680660/-78
a4:77:33:67:8f:90/2016-11-26 19:51:49.292386/-86
